Model,Gen,Size(B),Type,Empathy Score (Emp),Formality Score (Frm),Style Disc. Score,Entity Coverage (Emp),Entity Coverage (Frm),Flesch Ease (Emp),TTR (Emp),ROUGE-1 Div.,KG Nodes,KG Density,Placeholder Leaks↓,Overall Rank Score
L3.1-8B,Llama-3,8,instruct,0.008709677419354838,0.061034482758620695,0.0008787541713014447,0.02383802308802309,0.04927813852813853,39.49645567627211,0.8706902637374965,0.3571704983754075,7.46,0.12359848484848483,0.0,3.1363636363636362
L2-7B-Chat,Llama-2,7,chat,0.01064516129032258,0.028620689655172414,0.005984427141268076,0.010889249639249638,0.022783189033189034,57.30921855722567,0.8508549367404368,0.3472388412327468,7.55,0.12217748917748915,0.0,3.3181818181818183
L3.2-1B,Llama-3,1,instruct,0.01193548387096774,0.07310344827586207,0.04493882091212458,0.010663780663780664,0.01423051948051948,46.669175181198824,0.871468254872317,0.3565343124678684,7.54,0.12073015873015872,0.0,3.3181818181818183
L2-7B-Base,Llama-2,7,base,0.017741935483870964,0.03310344827586207,0.019210233592880977,0.02359163059163059,0.008425324675324674,37.39581758258194,0.9076659392223044,0.2040660418620411,7.43,0.12186038961038957,0.0,3.409090909090909
L2-13B-Chat,Llama-2,13,chat,0.013870967741935483,0.025517241379310343,-0.001379310344827586,0.016198412698412698,0.030658730158730156,54.729295560481106,0.8407528814994673,0.3451459595022889,7.45,0.12206457431457428,0.0,3.6818181818181817
L3.2-3B,Llama-3,3,instruct,0.009032258064516128,0.06034482758620689,-0.006173526140155725,0.01917893217893218,0.013194805194805195,38.060731702827475,0.8544967200983647,0.39449144454990237,7.64,0.1218820346320346,0.0,4.136363636363637
